City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Yumen,CN,40.2833,97.2,85.87,16,9,13.91,clear sky
255,Sorong,ID,-0.8833,131.25,81.5,74,56,2.66,broken clouds
256,Hastings,GB,50.8552,0.5729,72.9,61,0,8.63,clear sky
257,Lishui,CN,28.4604,119.9103,94.8,58,100,4.59,moderate rain
258,Guerrero Negro,MX,27.9769,-114.0611,70.54,74,57,13.29,broken clouds
259,Deputatskiy,RU,69.3,139.9,39.51,93,100,6.46,light rain
260,Ahuimanu,US,21.4447,-157.8378,80.31,74,40,12.66,scattered clouds
261,Hithadhoo,MV,-0.6,73.0833,81.99,77,99,12.77,moderate rain
262,Vila Velha,BR,-20.3297,-40.2925,66.94,90,75,0.0,broken clouds
263,Rio Gallegos,AR,-51.6226,-69.2181,37.45,70,0,25.32,clear sky
264,Agirish,RU,61.9247,63.0231,76.91,33,4,3.71,clear sky
265,Lasa,IT,46.6166,10.7002,65.35,80,12,0.83,few clouds
266,Chicama,PE,-7.8447,-79.1469,57.74,85,68,5.21,broken clouds
267,Rio Grande,BR,-32.035,-52.0986,48.47,83,0,6.15,clear sky
268,Ust-Tsilma,RU,65.441,52.1498,75.87,47,69,8.9,broken clouds
269,Shimoda,JP,34.6667,138.95,80.96,93,100,17.27,overcast clouds
270,Hobyo,SO,5.3505,48.5268,77.29,75,82,26.33,broken clouds
271,Sola,VU,-13.8833,167.55,80.78,74,32,18.77,scattered clouds
272,Flinders,AU,-34.5833,150.8552,53.38,83,89,11.99,light rain
273,Bull Savanna,JM,17.8868,-77.5902,75.7,85,91,6.55,overcast clouds
274,Marmashen,AM,40.8349,43.7779,74.08,38,20,1.14,few clouds
275,Zyryanka,RU,65.75,150.85,59.16,80,100,9.04,overcast clouds
276,Shatrovo,RU,56.5167,64.6333,72.0,62,0,4.92,clear sky
277,Hasaki,JP,35.7333,140.8333,82.29,81,100,17.09,light rain
278,Aklavik,CA,68.2191,-135.0107,57.47,94,100,4.14,light rain
279,Griffith,US,41.5284,-87.4237,77.9,84,0,3.44,clear sky
280,Maramba,TZ,-5.05,38.6167,60.15,91,77,3.13,broken clouds
281,Sinnamary,GF,5.3833,-52.95,76.96,90,100,10.07,overcast clouds
282,Cavalcante,BR,-13.7975,-47.4583,64.29,60,1,5.88,clear sky
283,Peniche,PT,39.3558,-9.3811,65.28,87,4,7.87,clear sky
284,Banda Aceh,ID,5.5577,95.3222,85.35,64,96,14.05,overcast clouds
285,Pringsewu,ID,-5.3582,104.9744,88.88,57,11,3.24,few clouds
286,Mbamba,NG,9.9833,13.1,69.35,96,78,2.98,broken clouds
287,La Ronge,CA,55.1001,-105.2842,70.05,60,20,4.61,few clouds
288,Nanortalik,GL,60.1432,-45.2371,47.48,80,89,10.47,overcast clouds
289,Obo,CF,5.3998,26.4869,67.51,99,100,4.85,light rain
290,Chokwe,MZ,-24.5333,32.9833,63.34,94,2,2.62,clear sky
291,Mollendo,PE,-17.0231,-72.0147,59.56,85,98,8.16,overcast clouds
292,Kanlagay,PH,5.8757,121.2915,83.98,67,87,2.21,overcast clouds
293,Khuzhir,RU,53.1939,107.3397,54.93,84,100,6.53,overcast clouds
294,Caucaia,BR,-3.7361,-38.6531,78.75,77,75,4.61,broken clouds
295,Hervey Bay,AU,-25.2986,152.8535,70.02,50,19,5.99,few clouds
296,Keti Bandar,PK,24.1447,67.4497,85.86,76,60,11.32,broken clouds
297,Sretensk,RU,52.2453,117.7093,84.92,30,0,7.09,clear sky
298,San Cristobal,VE,7.7669,-72.225,68.18,80,100,2.8,overcast clouds
299,Taldom,RU,56.7333,37.5333,57.67,73,82,9.26,broken clouds
300,Porto Novo,BJ,6.4965,2.6036,76.82,83,89,6.2,overcast clouds
301,Kununurra,AU,-15.7667,128.7333,87.78,30,30,5.75,scattered clouds
302,Mikuni,JP,36.2171,136.1519,84.11,85,100,13.33,moderate rain
303,Airai,TL,-8.9266,125.4092,71.28,41,60,3.38,broken clouds
304,Galle,LK,6.0367,80.217,83.12,75,73,17.81,broken clouds
305,Itaituba,BR,-4.2761,-55.9836,78.15,61,85,1.92,overcast clouds
306,Okhotsk,RU,59.3833,143.3,62.1,82,86,9.98,overcast clouds
307,Forfar,GB,56.6431,-2.8903,63.75,63,100,3.04,overcast clouds
308,San Jeronimo,PE,-11.9472,-75.2829,46.74,81,100,1.81,overcast clouds
309,Christchurch,NZ,-43.5333,172.6333,46.9,92,100,16.11,moderate rain
310,Lima,PE,-12.0432,-77.0282,59.9,86,100,11.5,overcast clouds
311,Jurilovca,RO,44.7667,28.8667,70.03,46,74,9.42,broken clouds
312,Kruisfontein,ZA,-34.0033,24.7314,54.88,91,49,4.21,scattered clouds
313,Benguela,AO,-12.5763,13.4055,66.29,89,1,0.65,clear sky
314,Tigil,RU,57.8,158.6667,70.5,67,21,9.86,few clouds
315,Tandalti,SD,13.0167,31.8667,76.46,70,100,14.85,overcast clouds
316,Atherton,GB,53.5237,-2.4935,75.88,52,92,1.99,overcast clouds
317,Acari,PE,-15.4311,-74.6158,64.87,71,100,3.02,overcast clouds
318,Grindavik,IS,63.8424,-22.4338,50.47,100,100,4.61,light rain
319,Launceston,AU,-41.45,147.1667,53.15,59,8,12.66,clear sky
320,Port Alfred,ZA,-33.5906,26.891,62.37,53,27,3.29,scattered clouds
321,Baruun-Urt,MN,46.6806,113.2792,80.67,22,77,3.04,broken clouds
322,Abong Mbang,CM,3.9833,13.1833,66.29,95,100,3.6,overcast clouds
323,Ponta Do Sol,PT,32.6667,-17.1,69.71,79,0,5.73,clear sky
324,Bowen,AU,-20.0167,148.2333,71.22,62,3,15.21,clear sky
325,Nome,US,64.5011,-165.4064,42.87,82,100,27.63,light rain
326,Snasa,NO,64.2457,12.3778,51.21,95,100,7.05,overcast clouds
327,Kokopo,PG,-4.352,152.2633,85.84,62,55,8.75,broken clouds
328,Luang Prabang,LA,19.8856,102.1347,91.36,55,75,4.61,broken clouds
329,Madimba,TZ,-10.4,40.3333,70.83,85,68,9.55,broken clouds
330,Show Low,US,34.2542,-110.0298,72.14,64,0,3.44,clear sky
331,Dodge City,US,37.7528,-100.0171,82.65,39,0,13.8,clear sky
332,Dunedin,NZ,-45.8742,170.5036,45.77,89,100,6.98,overcast clouds
333,Pemba,MZ,-12.974,40.5178,72.3,83,40,9.22,scattered clouds
334,Umarkot,PK,25.3616,69.7362,90.45,56,44,10.16,scattered clouds
335,Tricase,IT,39.9304,18.3553,74.55,69,51,12.46,broken clouds
336,Naduvattam,IN,11.4833,76.5667,64.89,75,98,4.27,overcast clouds
337,North Bend,US,43.4065,-124.2243,58.15,94,0,9.22,clear sky
338,Gogrial,SS,8.5332,28.1004,71.31,92,88,5.39,overcast clouds
339,Tandil,AR,-37.3217,-59.1332,35.74,78,56,1.68,broken clouds
